UNIQUE INTERNAL CODE	PRODUCT NAME	PRODUCT DESCRIPTION	PRODUCT PRICE	PRODUCT URL	IMAGE URL	CATEGORY	SHIPPING COST	GENDER	COLOR	GOOGLE TAX	MANUFACTURER	Google Age Group	MPN(Manufacturer Part Number)
11831	Pink Opal Chunky Necklaces	Pink Opal necklaces This gorgeous and ethnic necklace in pretty pink has free cut unique variety of opal with a smooth and glowing surface separated by GR silver beads (not real silver). The necklace is 15 to 18 inches long with silver polished lobster clasp and 3 inch long extension chain. Bead size is 18mm x 14mm (approx).   	62	http://www.semiprecious.com/detail.cfm?itemnumber=11831	http://www.semiprecious.com/images/necklaces/11831.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	pink	US:TX:8.25:y	Semiprecious.com	Adult	11831
11913	Citrine Ethnic Earrings  in Sterling Silver	Citrine earrings Citrine faceted beaded earrings with silver ring and bali beads with silver ear wires. Bead size 3mm x 10 to  6mm x 10mm. 1 inch long  without silver earwires.	25	http://www.semiprecious.com/detail.cfm?itemnumber=11913	http://www.semiprecious.com/images/earrings/11913.jpg	Clothing & Accessories > Jewelry > earrings	3.99	f	yellow	US:TX:8.25:y	Semiprecious.com	Adult	11913
12620	Rotile Earrings  in Sterling Silver	Rotile earrings Black pearl accentuates this hand made rotile earring with gold plated dangler posts.  Made in the USA 1.5cm in length.     	23	http://www.semiprecious.com/detail.cfm?itemnumber=12620	http://www.semiprecious.com/images/earrings/12620.jpg	Clothing & Accessories > Jewelry > earrings	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	12620
12649	Pearl Multistrand Necklaces	Pearl necklaces An exclusive beaded necklace set with peach Pearl, Hematite, Garnet and large faceted Black Onyx in a 4 strand beaded design. The chunky necklace is 25 inch long with silver lobster clasp and 4 inch long 6 strand hanging beaded pendant. Largest bead size is 12mm x 19mm, smallest bead size is 1mm x 4mm.   	78	http://www.semiprecious.com/detail.cfm?itemnumber=12649	http://www.semiprecious.com/images/necklaces/12649.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	gray,red	US:TX:8.25:y	Semiprecious.com	Adult	12649
13697	Lemon Quartz Mens Rings  in Sterling Silver	Lemon quartz rings This gorgeous ring display a checkered cut lemon quartz gemstone prong set in sterling silver band. Stone size 13x17 mm.   	47	http://www.semiprecious.com/detail.cfm?itemnumber=13697	http://www.semiprecious.com/images/rings/13697.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	green,yellow	US:TX:8.25:y	Semiprecious.com	Adult	13697
14149	Peridot Mens Rings  in Sterling Silver	Peridot rings This scintillating ring glazed with a square cut Peridot gemstone. Peridot is prong set in the middle of square silver frame. A perfect gift for someone special! Stone size - 6x6 mm. TCW - 1.6 cts. approx   	30	http://www.semiprecious.com/detail.cfm?itemnumber=14149	http://www.semiprecious.com/images/rings/14149.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	14149
16637	Tanzanite Key Pendants  in Sterling Silver	tanzanite Pendants A colorful way to gift the key! Express yourself with this beautiful tanzanite (sizes 4x3mm, 2.0mm and 2.5mm) key pendant. Elegantly appointed in sterling silver with a total gemstone weight of 0.87 carat, this pendant will be the key of her heart! Come with sterling silver chain   	93	http://www.semiprecious.com/detail.cfm?itemnumber=16637	http://www.semiprecious.com/images/Pendants/16637.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	blue,white	US:TX:8.25:y	Semiprecious.com	Adult	16637
16809	Peridot Pendants  in Sterling Silver	Peridot Pendants Genuine 3.40CTW Peridot flower pendant set it Sterling Silver. Pendant comes with chain shown.   	76	http://www.semiprecious.com/detail.cfm?itemnumber=16809	http://www.semiprecious.com/images/Pendants/16809.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	16809
17005	Jasper Multistrand Necklaces	Jasper Necklaces Nice large pearl and faceted green onyx and tiny garnet beads necklace with a substantial expression due to the three strands. Not too heavy due to the tiny garnet beads balancing the larger sparkly onyx and shiny pearls. One of a kind!   	53	http://www.semiprecious.com/detail.cfm?itemnumber=17005	http://www.semiprecious.com/images/Necklaces/17005.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	green,white,multi-color	US:TX:8.25:y	Semiprecious.com	Adult	17005
262	Rotile Necklaces	Rotile Necklaces Fine uniform round Rotile beads in earthy tones has been used to craft this stylish beaded string. The beads have golden brass sparator rings to add interest. Bead size is 5mm. The necklace is 24 inches long with golden polished lobster clasp.  Unique plant-like inclusions of the gemstone are magical.   	23	http://www.semiprecious.com/detail.cfm?itemnumber=262	http://www.semiprecious.com/images/Necklaces/262.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	brown,white,multi-color	US:TX:8.25:y	Semiprecious.com	Adult	262
1182	Silver Charms Pendants  in Sterling Silver	Silver Pendants Elephant silver pendant. Current stock has trunk up. Nice texture/designs on the body. Size about 0.6 inch by 0.4 inch 	31	http://www.semiprecious.com/detail.cfm?itemnumber=1182	http://www.semiprecious.com/images/Pendants/1182.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	gray	US:TX:8.25:y	Semiprecious.com	Adult	1182
16969	Carnelian Pendants  in Sterling Silver	Carnelian Pendants Carnelian creatively crafted with five lovely silver leaves.   	58	http://www.semiprecious.com/detail.cfm?itemnumber=16969	http://www.semiprecious.com/images/Pendants/16969.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	16969
1799	Obsidian Pendants  in Sterling Silver	Obsidian Pendants A perfect rectangle cabochon of Snowflake Obsidian set in elegant silver frame. The exotic gemstone is a one of a kind with its characteristic patterning in gray and black that goes with the entire color pallet. Stone size 27mm x 17mm.   	77	http://www.semiprecious.com/detail.cfm?itemnumber=1799	http://www.semiprecious.com/images/Pendants/1799.jpg	Clothing & Accessories > Jewelry > Pendants	3.99	f	black	US:TX:8.25:y	Semiprecious.com	Adult	1799
