Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
Mixed stone bracelet	"Mixed stone bracelet, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$5.00 	14	http://www.semiprecious.com/images/bracelets/mixbrac.jpg	$1.00 	20
"Moonstone necklace with golden rings, 17"""	"Moonstone necklace with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	147	http://www.semiprecious.com/images/necklaces/147.jpg	$2.00 	10
"Moonstone necklace, rectangular beads with golden rings, 17"""	"Moonstone necklace, rectangular beads with golden rings, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$12.00 	18	http://www.semiprecious.com/images/necklaces/moonold.jpg	$2.00 	8
"Moonstone necklace, rectangular beads, 17"""	"Moonstone necklace, rectangular beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$10.00 	17	http://www.semiprecious.com/images/necklaces/moon.jpg	$2.50 	2
"Moonstone necklace, spherical beads, 17"""	"Moonstone necklace, spherical beads, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$13.00 	84	http://www.semiprecious.com/images/necklaces/moonsphr.jpg	$2.00 	7
"Moonstone necklace, with golden rings, 17"" (matching earrings included)"	"Moonstone necklace, with golden rings, 17"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$14.00 	18.1	http://www.semiprecious.com/images/necklaces/moonshd.jpg	$2.00 	8
"Moss agate necklace with ethnic metal pieces, 24"""	"Moss agate necklace with ethnic metal pieces, 24"" For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$14.00 	12	http://www.semiprecious.com/images/necklaces/mossag14old.jpg	$2.50 	3
"Moss agate necklace with ethnic metal pieces, 24"" (with earrings)"	"Moss agate necklace with ethnic metal pieces, 24"" (matching earrings included)  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	12.1	http://www.semiprecious.com/images/necklaces/mossag14.jpg	$2.50 	3
"Moss agate necklace with golden rings, 24"""	"Moss agate necklace with golden rings, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$16.00 	152	http://www.semiprecious.com/images/necklaces/152.jpg	$2.50 	10
"Moss agate necklace, 24"""	"Moss agate necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$23.00 	153	http://www.semiprecious.com/images/necklaces/153.jpg	$2.00 	5
